32.85,32.95,32.98,33,14.14,14.22,14.26,14.35,33.97,34.04,34.08,34.11,12.96,13.03,13.1,35.27,35.35,35.46
104.16,103.25,102.14,101.14,83.42,84.39,85.34,86.32,90.18,89.13,88.14,87.13,65.41,66.41,67.67,72.25,71.21,69.83
f1_01,f1_02,f1_03,f1_04,f1_05,f1_06,f1_07,f1_08,f1_09,f1_10,f1_11,f1_12,f1_13,f1_14,f1_15,f1_16,f1_17,f1_18
